from_genius_id,to_genius_id,type
9289682,723327,samples
9085470,1412050,samples
91785,805073,samples
8886879,6224,interpolates
8956173,9143,interpolates
9237778,1794525,interpolates
8956165,476552,samples
8956165,158635,samples
8956165,188401,samples
8956163,384845,samples
8956163,780,samples
8956163,45684,samples
8956163,340,interpolates
8956163,3627,interpolates
8956160,633712,samples
9207799,51779,samples
9258846,7631645,interpolates
9258846,9096240,interpolates
9258846,120723,interpolates
9258846,8956162,interpolates
9258846,143155,interpolates
9258846,8175723,interpolates
9258846,3327237,interpolates
9258846,6943346,interpolates
9255477,8173139,samples
9255477,52863,interpolates
9255477,8714746,interpolates
9210435,368567,samples
9210435,368567,interpolates
9160891,133137,samples
9160891,8932297,interpolates
9263022,9270361,samples
9263022,4786052,interpolates
9260170,5528,interpolates
9254531,58874,samples
9254024,2340317,interpolates
9267592,338817,samples
9267592,338817,interpolates
9255119,198,samples
9255119,3812108,interpolates
9263034,9263996,interpolates
8088136,6398652,samples
8088136,9282091,interpolates
9038785,9038782,interpolates
9263433,2829898,samples
9263016,8625319,interpolates
9263016,9267311,interpolates
8965815,9405470,interpolates
9244062,8352500,interpolates
9251882,992345,interpolates
9260202,3844,samples
9260202,28086,samples
9260202,8558961,samples
9219099,669,interpolates
9255881,1629,interpolates
9231526,1650,samples
9257313,5718,samples
9257313,498,samples
9257313,744,samples
9257313,988,samples
9257313,238,samples
9257313,509,samples
9257313,9885057,samples
9262653,8705576,samples
9255877,8415871,interpolates
9255877,1390230,interpolates
9255882,2485202,interpolates
9255882,5977,interpolates
8469497,7167114,interpolates
9081322,206194,interpolates
8871682,7216630,interpolates
8791913,8267350,interpolates
9228106,109096,interpolates
8494420,3209316,samples
8494420,2325505,interpolates
9285676,57225,interpolates
9285676,11227069,interpolates
6490368,9689695,interpolates
6490368,2441478,interpolates
9269871,6204974,interpolates
9246653,9138047,interpolates
9187575,20062,interpolates
6649389,342543,interpolates
6649389,4712978,interpolates
9279971,1109956,interpolates
9279968,2257921,interpolates
9279970,844568,samples
9279970,844568,interpolates
9055367,9412296,samples
9055367,9498089,interpolates
8865074,6468583,samples
8865074,3974110,interpolates
8865074,10203401,interpolates
9102326,3940957,interpolates
9275101,10723506,interpolates
9285659,140222,samples
9285659,199184,interpolates
9285647,2889262,samples
9285647,3712764,interpolates
9285647,2889262,interpolates
9285647,1981,interpolates
6639177,2447082,interpolates
6639177,92297,interpolates
6639177,65848,interpolates
6639177,92464,interpolates
6639177,8672568,interpolates
8200790,9349423,interpolates
9285645,6368552,samples
9285645,9014298,interpolates
9278189,5654337,interpolates
9285653,1042254,samples
3237732,3209323,interpolates
